2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:10)  		´íÎóÐÅÏ¢£ºË÷ÒýÖÐ¶ªÊ§  IN »ò OUT ²ÎÊý:: 1
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		oracle.jdbc.driver.DatabaseError.throwSqlException(DatabaseError.java:112)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		oracle.jdbc.driver.DatabaseError.throwSqlException(DatabaseError.java:146)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		oracle.jdbc.driver.OraclePreparedStatement.processCompletedBindRow(OraclePreparedStatement.java:1719)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		oracle.jdbc.driver.OraclePreparedStatement.executeInternal(OraclePreparedStatement.java:3334)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		oracle.jdbc.driver.OraclePreparedStatement.executeQuery(OraclePreparedStatement.java:3384)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.dao.DBHelper.queryAll(DBHelper.java:112)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.dao.DBHelper.select(DBHelper.java:187)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.dao.GameMessege.getMessageList(GameMessege.java:78)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.dao.GameMessege.showTable(GameMessege.java:29)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.frame.MessegeUI.tree_1addSelectionListener(MessegeUI.java:155)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.frame.MessegeUI.access$0(MessegeUI.java:153)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		com.hynu.frame.MessegeUI$1.widgetSelected(MessegeUI.java:113)
2017-05-19 19:53:40  com.hynu.utils.Log.error(Log.java:14)  		org.eclipse.swt.widgets.TypedListener.handleEvent(TypedListener.java:248)
